,name,hits,throws,academic_year,height,weight,home_town,previous_school,image
3LeeVanStreain,3LeeVanStreain,,,Sr.,"5'10""","(None, None)",Central,"Kalamazoo,Mich.",https://gvsulakers.com/images/2014/5/12/856539.jpeg?width=80
4SpudMcKenzie,4SpudMcKenzie,,,Sr.,"5'8""","(None, None)",GrandRapidsCommunityCollege,"Wyoming,Mich.",https://gvsulakers.com/images/2014/5/12/850294.jpeg?width=80
5PatRadde,5PatRadde,,,Jr.,"5'8""","(None, None)",ForestHillsCentral,"GrandRapids,Mich.",https://gvsulakers.com/images/2014/5/12/1754477.jpeg?width=80
6DanDelamielleure,6DanDelamielleure,,,Fr.,"5'10""","(None, None)","Romeo,Mich.","Romeo,Mich.",https://gvsulakers.com/images/2014/5/12/850430.jpeg?width=80
8DanSkirka,8DanSkirka,,,Sr.,"6'0""","(None, None)",KelloggCommunityCollege,"UnionCity,Mich.",https://gvsulakers.com/images/2014/5/12/850302.jpeg?width=80
9CaseyRobrahn,9CaseyRobrahn,,,So.,"6'1""","(None, None)",Jenison,"Jenison,Mich.",https://gvsulakers.com/images/2014/5/12/2638576.jpeg?width=80
10BrandonBard,10BrandonBard,,,Sr.,"6'1""","(None, None)",MuskegonCommunityCollege,"NortonShores,Mich.",https://gvsulakers.com/images/2014/5/12/856531.jpeg?width=80
11KenMurkowski,11KenMurkowski,,,Jr.,"6'5""","(None, None)",KelloggCommunityCollege,"Jackson,Mich.",https://gvsulakers.com/images/2014/5/12/850448.jpeg?width=80
12JesseBarfelz,12JesseBarfelz,,,R-Fr.,"5'10""","(None, None)","Jenison,Mich.","Jenison,Mich.",https://gvsulakers.com/images/2014/5/12/850282.jpeg?width=80
14JustinSwiderski,14JustinSwiderski,,,Fr.,"5'11""","(None, None)",Athens,"Troy,Mich.",https://gvsulakers.com/images/2014/5/12/850462.jpeg?width=80
15AaronMelucci,15AaronMelucci,,,So.,"6'3""","(None, None)",HarperWoodsNotreDame,"ClintonTwp.,Mich.",https://gvsulakers.com/images/2014/5/12/850295.jpeg?width=80
16DerekHinke,16DerekHinke,,,Jr.,"5'10""","(None, None)",JohnsonCountyCommunityCollege,"CedarRapids,Iowa",https://gvsulakers.com/images/2014/5/12/1754445.jpeg?width=80
17BrennenGlass,17BrennenGlass,,,Fr.,"6'4""","(None, None)",South,"Springfield,Ohio",https://gvsulakers.com/images/2014/5/12/1754423.jpeg?width=80
20NickSmith,20NickSmith,,,Sr.,"6'1""","(None, None)",UniversityofDetroit,"HazelPark,Mich.",https://gvsulakers.com/images/2014/5/12/856535.jpeg?width=80
21NickBeach,21NickBeach,,,Jr.,"5'11""","(None, None)",MuskegonCommunityCollege,"Muskegon,Mich.",https://gvsulakers.com/images/2014/5/12/1754369.jpeg?width=80
22MattNickels,22MattNickels,,,Jr.,"5'11""","(None, None)",Valparaiso,"Novi,Mich.",https://gvsulakers.com/images/2014/5/12/2638369.jpeg?width=80
24CoryMaguire,24CoryMaguire,,,Fr.,"6'2""","(None, None)","Davison,Mich.","Davison,Mich.",https://gvsulakers.com/images/2014/5/12/4213524.jpeg?width=80
25SteveStrutz,25SteveStrutz,,,Jr.,"6'2""","(None, None)",SouthSuburbanCommunityCollege,"OrlandPark,Ill.",https://gvsulakers.com/images/2014/5/12/850461.jpeg?width=80
26AlexDawe,26AlexDawe,,,So.,"5'10""","(None, None)",Shepherd,"Shepherd,Mich.",https://gvsulakers.com/images/2014/5/12/850288.jpeg?width=80
29EricSnyder,29EricSnyder,,,So.,"6'4""","(None, None)",WaubonseeCommunityCollege,"Elburn,Ill.",https://gvsulakers.com/images/2014/5/12/1754501.jpeg?width=80
30DannyRichard,30DannyRichard,,,Fr.,"6'3""","(None, None)","WestBloomfield,Mich.","WestBloomfield,Mich.",https://gvsulakers.com/images/2014/5/12/2638380.jpeg?width=80
31ScottCain,31ScottCain,,,So.,"6'0""","(None, None)",DivineChild,"Canton,Mich.",https://gvsulakers.com/images/2014/5/12/2638328.jpeg?width=80
32BradRaj,32BradRaj,,,Fr.,"6'0""","(None, None)",SouthgateAnderson,"Southgate,Mich.",https://gvsulakers.com/images/2014/5/12/4213572.jpeg?width=80
33VinceRizzi,33VinceRizzi,,,Sr.,"6'1""","(None, None)",JolietCommunityCollege,"Lansing,Ill.",https://gvsulakers.com/images/2014/5/12/850300.jpeg?width=80
34MattMiddleton,34MattMiddleton,,,Sr.,"5'11""","(None, None)",GrossePointeSouth,"GrossePointe,Mich.",https://gvsulakers.com/images/2014/5/12/850297.jpeg?width=80
38DavidBowman,38DavidBowman,,,So.,"5'10""","(None, None)",BrotherRice,"RochesterHills,Mich.",https://gvsulakers.com/images/2014/5/12/2638321.jpeg?width=80
40MattHuml,40MattHuml,,,Jr.,"6'2""","(None, None)",KishwaukeeCommunityCollege,"Elburn,Ill.",https://gvsulakers.com/images/2014/5/12/1754449.jpeg?width=80
41JoshHargreaves,41JoshHargreaves,,,So.,"6'0""","(None, None)",Huron,"NewBoston,Mich.",https://gvsulakers.com/images/2014/5/12/1754438.jpeg?width=80
BrandonDickinson,BrandonDickinson,,,Fr.,"6'2""","(None, None)","Durand,Mich.","Durand,Mich.",https://gvsulakers.com/images/2014/5/12/1754420.jpeg?width=80
JoeJablonski,JoeJablonski,,,Fr.,"6'5""","(None, None)",Bedford,"Temperance,Mich.",https://gvsulakers.com/images/2014/5/12/6251771.jpeg?width=80
