,pos,height,weight,hits/throws,number,image
Stephen Claypool,INF,"5'11""",,,2,https://gvsulakers.com/images/2014/5/12/8529070.jpeg?width=80
Kevin Zak,INF,"6'1""",,,3,https://gvsulakers.com/images/2014/5/12/9692695.jpeg?width=80
Mike Nadratowski,OF,"6'0""",,,4,https://gvsulakers.com/images/2014/5/12/9692569.jpeg?width=80
Steve Anderson,OF,"6'2""",,,5,https://gvsulakers.com/images/2014/5/12/7373476.jpeg?width=80
Zach Laupp,C,"6'0""",,,6,https://gvsulakers.com/images/2014/5/12/7373600.jpeg?width=80
Chris Ripple,OF,"6'2""",,,8,https://gvsulakers.com/images/2014/5/12/9692676.jpeg?width=80
Kyle Zegarac,RHP,"6'2""",,,10,https://gvsulakers.com/images/2014/5/12/8529329.jpeg?width=80
Blake Batteast,OF,"6'1""",,,11,https://gvsulakers.com/images/2014/5/12/7373501.jpeg?width=80
Matthew Schuch,C,"6'0""",,,12,https://gvsulakers.com/images/2014/5/12/8529299.jpeg?width=80
Kyle Schepel,RHP,"6'1""",,,13,https://gvsulakers.com/images/2014/5/12/7373648.jpeg?width=80
Jared Cowan,C,"6'2""",,,14,https://gvsulakers.com/images/2014/5/12/7373556.jpeg?width=80
Lance Buitendyk,INF,"6'0""",,,15,https://gvsulakers.com/images/2014/5/12/7373540.jpeg?width=80
Brad Zambron,LHP,"6'1""",,,16,https://gvsulakers.com/images/2014/5/12/8529326.jpeg?width=80
Derrik Strzalkowski,INF/C,"5'11""",,,17,https://gvsulakers.com/images/2014/5/12/7373661.jpeg?width=80
Chris Rudenga,OF,"6'0""",,,18,https://gvsulakers.com/images/2014/5/12/8529288.jpeg?width=80
Cory Baker,RHP,"6'6""",,,20,https://gvsulakers.com/images/2014/5/12/7373496.jpeg?width=80
Cory Rademacher,RHP,"6'2""",,,21,https://gvsulakers.com/images/2014/5/12/6251720.jpeg?width=80
Ryan Garman,RHP,"5'10""",,,24,https://gvsulakers.com/images/2014/5/12/8529128.jpeg?width=80
Anthony Campanella,RHP,"6'2""",,,25,https://gvsulakers.com/images/2014/5/12/8529052.jpeg?width=80
Brian Robinson,INF,"6'0""",,,26,https://gvsulakers.com/images/2014/5/12/6251782.jpeg?width=80
Jamie Potts,OF,"6'2""",,,27,https://gvsulakers.com/images/2014/5/12/8529282.jpeg?width=80
Patrick Kelly,RHP,"5'8""",,,28,https://gvsulakers.com/images/2014/5/12/9692494.jpeg?width=80
Chris Whitney,RHP,"6'3""",,,29,https://gvsulakers.com/images/2014/5/12/7373710.jpeg?width=80
Skylar Hoke,RHP,"6'1""",,,30,https://gvsulakers.com/images/2014/5/12/8529201.jpeg?width=80
Mitchell Kozlowski,INF,"5'10""",,,31,https://gvsulakers.com/images/2014/5/12/9692498.jpeg?width=80
Jacob Cox,RHP,"6'3""",,,32,https://gvsulakers.com/images/2014/5/12/7373578.jpeg?width=80
Brett Gwaltney,LHP,"5'10""",,,34,https://gvsulakers.com/images/2014/5/12/7373590.jpeg?width=80
Cody Westerhuis,LHP,"5'11""",,,38,https://gvsulakers.com/images/2014/5/12/9692693.jpeg?width=80
Giancarlo Brugnoni,INF,"6'3""",,,40,https://gvsulakers.com/images/2014/5/12/9692446.jpeg?width=80
Dan Lodolce,RHP,"5'9""",,,41,https://gvsulakers.com/images/2014/5/12/7373604.jpeg?width=80
Teague,RHP,"6'2""",,,Kyle,https://gvsulakers.com/images/2014/5/12/8529303.jpeg?width=80
