,pos,height,weight,hits/throws,number,image
Alex Mandeville,SS,"5'10""",170,R/R,1,https://gvsulakers.com/images/2019/1/9/Mandeville_Alex.jpg?width=80
Chase Carpenter,INF/OF,"6'0""",165,R/L,2,https://gvsulakers.com/images/2019/1/9/Carpenter_Chase.jpg?width=80
Jonathan Catapano,OF,"5'10""",185,R/R,3,https://gvsulakers.com/images/2019/1/9/Catapano_Jonathan.jpg?width=80
Jacob Gleason,OF,"6'3""",210,R/R,4,https://gvsulakers.com/images/2019/1/9/Gleason_Jake.jpg?width=80
Drake Ellens,OF,"6'0""",178,R/R,5,https://gvsulakers.com/images/2019/1/9/Ellens_Drake.jpg?width=80
Nate Chase,INF,"6'0""",190,R/R,6,https://gvsulakers.com/images/2019/1/9/Chase_Nate.jpg?width=80
Nathan Bonter,INF,"5'11""",185,L/R,7,https://gvsulakers.com/images/2019/1/9/Bonter_Nathan.jpg?width=80
Christian Mercure,P,"6'1""",200,R/R,8,https://gvsulakers.com/images/2019/1/9/Mercure_Chris.jpg?width=80
Jared Skubic,RHP,"6'0""",180,R/R,9,https://gvsulakers.com/images/2019/1/9/Skubic_Jared.jpg?width=80
Zach Berry,OF,"5'9""",172,R/R,10,https://gvsulakers.com/images/2019/1/9/Berry_Zach_8.jpg?width=80
Parker Murdie,INF,"6'0""",170,R/R,11,https://gvsulakers.com/images/2019/1/9/Murdie_Parker.jpg?width=80
Luke Hargis,RHP,"6'2""",185,R/R,12,https://gvsulakers.com/images/2019/1/9/Hargis_Luke.jpg?width=80
Michael Morelli,P,"6'0""",200,R/R,13,https://gvsulakers.com/images/2019/1/9/Morelli_Michael.jpg?width=80
Cameron Brayman,C,"5'10""",205,R/R,14,https://gvsulakers.com/images/2019/1/9/Brayman_Cameron.jpg?width=80
Keaghan Sutliff,RHP,"6'2""",215,R/R,15,https://gvsulakers.com/images/2019/1/9/Sutliff_Keaghan.jpg?width=80
Christian Sidoti,RHP,"6'0""",190,R/R,16,https://gvsulakers.com/images/2019/1/9/Sidoti_Christian.jpg?width=80
Christian Faust,INF,"6'0""",180,R/R,17,https://gvsulakers.com/images/2019/1/9/Faust_Christian.jpg?width=80
Stephen Pim,OF,"6'0""",182,R/L,18,https://gvsulakers.com/images/2019/1/9/Pim_Stephen.jpg?width=80
Brett Nearing,P,"6'6""",202,R/R,20,https://gvsulakers.com/images/2019/1/9/Nearing_Brett.jpg?width=80
Joe Laudont,C,"6'0""",205,R/R,21,https://gvsulakers.com/images/2019/1/9/Laudont_Joseph.jpg?width=80
Ryan Lorber,C,"6'0""",195,R/R,22,https://gvsulakers.com/images/2019/1/9/Lorber_Ryan.jpg?width=80
Riley Creamer,INF,"5'11""",175,L/R,24,https://gvsulakers.com/images/2019/1/9/Creamer_Riley.jpg?width=80
Anthony Cocco,INF,"6'0""",192,L/R,25,https://gvsulakers.com/images/2019/1/9/Coco_Anthony.jpg?width=80
Sam Leck,RHP,"6'3""",175,R/R,26,https://gvsulakers.com/images/2019/1/9/Leck_Sam.jpg?width=80
Cade Cintorino,LHP,"6'3""",200,L/L,28,https://gvsulakers.com/images/2019/1/9/Cintorino_Cade.jpg?width=80
Connor Grice,C,"5'7""",183,R/R,29,https://gvsulakers.com/images/2019/1/9/Grice_Connor.jpg?width=80
Nick Shaw,P,"6'1""",200,L/L,30,https://gvsulakers.com/images/2019/1/9/Shaw_Nick.jpg?width=80
Rylan Peets,RHP,"6'1""",170,L/R,31,https://gvsulakers.com/images/2019/1/9/Peets_Ryan.jpg?width=80
Ryan Blake-Jones,C/1B,"6'3""",219,R/R,32,https://gvsulakers.com/images/2019/1/9/Blake_Jones_Ryan.jpg?width=80
Anthony Zurke,LHP,"6'3""",220,R/L,33,https://gvsulakers.com/images/2019/1/9/Zurke_Anthony.jpg?width=80
Alex Licata,P,"6'2""",165,R/R,34,https://gvsulakers.com/images/2019/1/9/Licata_Alex.jpg?width=80
Alex McCormack,1B/P,"6'2""",185,L/L,38,https://gvsulakers.com/images/2019/1/9/McCormack_Alex.jpg?width=80
Brendan Nearing,P,"6'6""",212,L/L,40,https://gvsulakers.com/images/2019/1/9/Nearing_Brendan.jpg?width=80
AJ Mohr,P,"6'3""",205,R/R,41,https://gvsulakers.com/images/2019/1/9/Mohr_AJ.jpg?width=80
